Name,year,esrp,genre,rate,vote,country,company
Mario Kart 8,2014,20142014EE,ActionFamilyFantasy,8.6,2.2K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Star Wars Pinball,2013,20132013E10+E10+,Sci-Fi,8.6,83,United States,Zen Studios
Black Mesa,2012,20122012Not RatedNot Rated,ActionSci-FiThriller,8.6,689,United States,Black Mesa Modification Team
Medieval Moves: Deadmund's Quest,2011,20112011,Action,8.6,15,United States,San Diego Studios
Ni no Kuni: Wrath of the White Witch,2011,20112011E10+E10+,AdventureFantasy,8.6,862,Japan,Level-5
9mm,2011,20112011MM,ActionAdventureCrime,8.6,5,France,Gameloft
Bayonetta 2,2014,20142014MM,ActionAdventureFantasy,8.6,609,Japan,Platinum Games
The Cat Lady,2012,20122012,DramaHorrorMystery,8.6,261,United Kingdom,Harvester Games
Parodiusu Da! Shinwa kara Owaraihe,1990,19901990,ActionComedyFamily,8.6,49,Japan,Konami Industries
Otomediusu X,2011,20112011TT,ActionAdventureFantasy,8.6,55,Japan,Konami Computer Entertainment
Mystery Case Files: Escape from Ravenhearst,2011,20112011,Mystery,8.6,22,United States,Big Fish Games
Kyokugen dasshutsu: 9-jikan 9-nin 9 no tobira,2009,20092009MM,AdventureHorrorSci-Fi,8.6,265,Japan,Chun Soft
Gô bakêshon,2011,20112011EE,FamilySport,8.6,28,Japan,
Salt and Sacrifice,2022,20222022,Action,8.6,5,United States,Ska Studios
Zero Escape: The Nonary Games,2017,20172017MM,ActionAdventureHorror,8.6,17,Japan,Spike Chunsoft
People Playground,2019,20192019,Comedy,8.6,13,Netherlands,Studio Minus
Journey,2012,20122012EE,AdventureFantasy,8.6,3.6K,United States,ThatGameCompany
Saturday Night Fever,2008,20082008,Action,8.6,9,Japan,Paramount Pictures Digital Entertainment
Marvel Pinball,2010,20102010,Action,8.6,89,United States,Resnick Interactive Development
Halo: Reach,2010,20102010MM,ActionAdventureSci-Fi,8.6,6.8K,United States,Bungie Software
RimWorld,2013,20132013MM,AdventureSci-Fi,8.6,18,Canada,
Batman - The Telltale Series Shadow Mode,2016,20162016,,8.6,7,,
Ghostbusters: Afterlife ScARe,2021,20212021,Sci-Fi,8.6,68,United States,Ghostcorps
Kid A Mnesia Exhibition,2021,20212021,Music,8.6,32,United Kingdom,
Kero Blaster,2014,20142014EE,ActionAdventureFantasy,8.6,5,Japan,Studio Pixel
Ultra Custom Night,2020,20202020,Horror,8.6,17,Poland,
Before Your Eyes,2021,20212021,Drama,8.6,66,United States,GoodbyeWorld Games
Wizard101,2008,20082008E10+E10+,ActionAdventureFantasy,8.6,126,United States,KingsIsle Entertainment
Afraid of Monsters,2005,20052005,Horror,8.6,5,Sweden,Team Psykskallar
Age of Empires III: Definitive Edition,2020,20202020,AdventureHistoryWar,8.6,15,United States,Forgotten Empires
Devil May Cry 5: Special Edition,2020,20202020MM,ActionAdventureFantasy,8.6,50,Japan,Capcom Company
Ready or Not,2021,20212021,ActionCrimeThriller,8.6,14,New Zealand,VOID Interactive
Shin Megami Tensei: Strange Journey,2009,20092009MM,ActionAdventureFantasy,8.6,64,Japan,Atlus
Hylics,2015,20152015,ActionAdventureFantasy,8.6,14,United States,
Summertime Saga,2019,20192019MM,AdventureFantasyRomance,8.6,27,France,Kompas Productions
Teardown,2020,20202020,ActionAdventureCrime,8.6,29,Sweden,Tuxedo Labs
Disgaea 3: Absence of Justice,2008,20082008TT,ActionAdventureComedy,8.6,51,Japan,Nippon Ichi Software
Grand Theft Auto IV: The Ballad of Gay Tony,2009,20092009MM,ActionCrimeDrama,8.6,4.6K,United Kingdom,Rockstar North
South of the Circle,2020,20202020,AdventureDrama,8.6,14,United Kingdom,
Max Payne 3,2012,20122012MM,ActionCrimeDrama,8.6,10K,Canada,Rockstar Vancouver
Evil Dead: The Game,2022,20222022MM,ActionFantasyHorror,8.6,216,United States,Saber Interactive
Dofus,2004,20042004,Adventure,8.6,13,France,Ankama
Murder House,2020,20202020MM,Horror,8.6,38,United States,Puppet Combo
Rûn fakutorî furontia,2008,20082008,,8.6,19,Japan,Neverland Company
Arknights,2020,20202020,ActionAdventureFantasy,8.6,24,United States,Hypergryph
Deus Ex: Human Revolution,2011,20112011MM,ActionAdventureDrama,8.6,5.6K,Canada,Eidos Interactive
The Secret of Monkey Island: Special Edition,2009,20092009E10+E10+,AdventureComedyFantasy,8.6,73,United States,LucasArts Entertainment Company
BTS Universe Story,2020,20202020,,8.6,13,South Korea,HYBE
The Yakuza Remastered Collection,2019,20192019,ActionAdventureDrama,8.6,38,Japan,Ryu Ga Gotoku Studio
Quest for Glory II: Trial by Fire,2008,20082008,Adventure,8.6,29,Australia,AGD Interactive LLC
Tokyo Dark,2017,20172017MM,AdventureHorrorMystery,8.6,5,Japan,Cherrymochi
Ryû ga gotoku 2,2006,20062006MM,ActionCrimeDrama,8.6,225,Japan,Ryu Ga Gotoku Studio
Culdcept Saga,2006,20062006TT,ActionAdventureDrama,8.6,9,Japan,Jamsworks Co.
Faith,2017,20172017,Horror,8.6,7,United States,Airdorf Games
NieR Replicant: ver.1.22474487139...,2021,20212021MM,ActionAdventureDrama,8.6,364,Japan,Square Enix Company
NCAA Basketball 10,2009,20092009,Sport,8.6,6,Canada,EA Sports
Company of Heroes: Opposing Fronts,2007,20072007,ActionWar,8.6,233,Canada,Relic Entertainment
The Legend of Kyrandia: The Hand of Fate,1993,19931993,AdventureFantasy,8.6,61,United States,Westwood Studios Inc.
Discovery Tour: Ancient Greece,2019,20192019E10+E10+,History,8.6,21,Canada,Ubisoft Montreal
Five Nights at Candy's Remastered,2019,20192019,Horror,8.6,21,United States,
Hype: The Time Quest,1999,19991999EE,AdventureDramaFantasy,8.6,52,Canada,Playmobil Interactive
Dijitaru debiru saaga: Abataaru teyuunaa 2,2005,20052005MM,ActionAdventureFantasy,8.6,81,Japan,Atlus
Debiru samanaa: Kuzunoha Raidou tai Chôriki Heidan,2006,20062006MM,ActionAdventureFantasy,8.6,76,Japan,Atlus
Not for Broadcast,2019,20192019,Drama,8.6,67,United Kingdom,
Monsutâ hantâ wârudo: Aisubôn,2019,20192019,ActionAdventureFantasy,8.6,85,Japan,
Mega Man Zero/ZX Legacy Collection,2020,20202020TT,ActionAdventureSci-Fi,8.6,16,Japan,Capcom Company
Sky: Children of the Light,2019,20192019,Adventure,8.6,77,United States,ThatGameCompany
AM2R: Return of Samus,2016,20162016E10+E10+,ActionAdventureMystery,8.6,21,Argentina,
Persona 3 Portable,2009,20092009MM,ActionAdventureFantasy,8.6,117,Japan,Atlus
Digital Combat Simulator World,2008,20082008,ActionAdventureWar,8.6,8,Russia,Eagle Dynamics
Factorio,2012,20122012,Adventure,8.6,98,Czech Republic,Wube Software
Faces of War,2006,20062006,ActionWar,8.6,73,,Best Way
World in Conflict,2007,20072007TT,ActionAdventureDrama,8.6,424,Sweden,Ubisoft Massive
Persian Gulf Inferno,1989,19891989,Action,8.6,7,United States,Magic Bytes
Bully,2006,20062006TT,ActionComedyDrama,8.6,5.2K,Canada,Rockstar Vancouver
QI: A Quite Interesting Game,2005,200520054h 37m,ComedyGame-Show,8.6,28,United Kingdom,TalkBack Productions
"Achtung, die Kurve!",1995,19951995,Family,8.6,30,Germany,Microsoft
The Lord of the Rings: The Battle for Middle-Earth II,2006,20062006,ActionAdventureFantasy,8.6,1.7K,United States,Electronic Arts (EA)
Sly 3: Honor Among Thieves,2005,20052005E10+E10+,ActionAdventureComedy,8.6,995,United States,Sony Computer Entertainment America
Civilization IV,2005,20052005E10+E10+,History,8.6,1.5K,United States,2K Games
Radiata Stories,2005,20052005TT,ActionComedyDrama,8.6,78,Japan,Tri-Ace Inc.
Quest for Glory I: So You Want to Be a Hero,1992,19921992,Adventure,8.6,100,United States,Sierra Entertainment
Prince of Persia: Warrior Within,2004,20042004MM,ActionAdventureFantasy,8.6,3.8K,Canada,Ubisoft Montreal
Ace Combat 5: The Unsung War,2004,20042004TT,ActionAdventureDrama,8.6,252,Japan,Namco
Katamari damashii,2004,20042004EE,ActionFantasy,8.6,352,Japan,Namco
Nancy Drew: Curse of Blackmoor Manor,2004,20042004EE,AdventureMystery,8.6,109,United States,Her Interactive Inc.
Rockman Zero 3,2004,20042004EE,ActionAdventureSci-Fi,8.6,111,Japan,Capcom Company
Splinter Cell: Chaos Theory,2005,20052005MM,ActionAdventureThriller,8.6,2.8K,Canada,Ubisoft Montreal
ESPN NFL 2K5,2004,20042004,ActionSport,8.6,137,United States,ESPN Videogames
Tales of Symphonia,2003,20032003TT,ActionAdventureDrama,8.6,705,Japan,Namco Tales Studio Ltd.
Desperados: Wanted Dead or Alive,2001,20012001,ActionAdventureWestern,8.6,228,Germany,Spellbound I
The Chronicles of Riddick: Escape from Butcher Bay,2004,20042004MM,ActionCrimeSci-Fi,8.6,3.2K,United States,Starbreeze Studios
Return of the Incredible Machines: Contraptions,2000,20002000,Adventure,8.6,6,United States,Sierra Entertainment
Call of Duty,2003,20032003TT,ActionAdventureWar,8.6,6.8K,United States,Activision
Dark Earth,1997,19971997,ActionFantasySci-Fi,8.6,46,France,Kalisto Entertainment
Twisted Metal 2: World Tour,1996,19961996TT,ActionCrimeFantasy,8.6,550,United States,SingleTrac Entertainment Technologies Inc.
Dreamfall: The Longest Journey,2006,20062006MM,AdventureDramaFantasy,8.6,1.2K,Norway,Funcom
Betrayal at Krondor,1993,19931993,Fantasy,8.6,80,United States,Dynamix
Frontier: Elite II,1993,19931993,ActionAdventureSci-Fi,8.6,47,United Kingdom,Konami
Atlantis: The Lost Tales,1997,19971997,AdventureFantasyMystery,8.6,50,France,Cryo Interactive Entertainment
Snatcher,1988,19881988TT,ActionMysterySci-Fi,8.6,242,Japan,Konami
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002,20022002,ActionAdventureComedy,8.6,498,United States,Monolith Productions
Jet Set Radio Future,2002,20022002TT,ActionFamilySport,8.6,270,Japan,Smilebit Corporation
Jak and Daxter: The Precursor Legacy,2001,20012001E10+E10+,ActionAdventureComedy,8.6,1.9K,United States,Naughty Dog
Silent Bomber,1999,19991999TT,ActionAdventureMystery,8.6,21,Japan,Cyber Connect
Star Wars: Jedi Knight II - Jedi Outcast,2002,20022002TT,ActionAdventureFantasy,8.6,2.3K,United States,LucasArts Entertainment Company
Blue's Treasure Hunt,1999,19991999CECE,ComedyFamilyMusical,8.6,20,United States,Humongous Entertainment
Zeruda no densetsu: Yume o miru shima,1993,19931993EE,ActionAdventureFantasy,8.6,1.4K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Shivers II: Harvest of Souls,1997,19971997TT,AdventureHorrorMusic,8.6,41,United States,Sierra Entertainment
Quest for Glory V: Dragon Fire,1998,19981998,,8.6,81,United States,Sierra Entertainment
Doom,1993,19931993MM,ActionHorrorSci-Fi,8.6,4.9K,United States,David A. Palmer Productions
Lunar: The Silver Star,1992,19921992MA-13MA-13,ActionAdventureComedy,8.6,180,Japan,Game Arts Co.
Blade of Darkness,2001,20012001MM,ActionAdventureFantasy,8.6,125,Spain,Rebel Act Studios
Crash Team Racing,1999,19991999EE,ActionAdventureFamily,8.6,1.9K,United States,Naughty Dog
The Legend of Dragoon,1999,19991999TT,ActionAdventureFantasy,8.6,535,Japan,Sony Computer Entertainment
Vagrant Story,2000,20002000TT,ActionAdventureFantasy,8.6,358,Japan,Square Company
Command & Conquer: Red Alert 2,2000,20002000TT,ActionSci-FiWar,8.6,3K,United States,Westwood Studios Inc.
Dust: A Tale of the Wired West,1995,19951995,ActionAdventureFantasy,8.6,51,United States,Cyberflix Inc.
Donkey Kong Country 2: Diddy's Kong Quest,1995,19951995K-AK-A,ActionAdventure,8.6,1.7K,United Kingdom,Rare
Donkey Kong Country,1994,19941994K-AK-A1h 48m,ActionAdventureComedy,8.6,2.9K,United Kingdom,Rare
Chrono Cross,1999,19991999TT,ActionAdventureFantasy,8.6,930,Japan,Square Company
Privateer,1993,19931993,ActionAdventureSci-Fi,8.6,162,United States,Origin Systems
Ultima VII Part Two: Serpent Isle,1993,19931993,AdventureFantasy,8.6,74,United States,Origin Systems
Fainaru fantajî takutikkusu,1997,19971997TT,ActionAdventureFantasy,8.6,584,Japan,Square Company
Discworld Noir,1999,19991999,AdventureComedyCrime,8.6,257,United Kingdom,Perfect Entertainment
Resident Evil 3: Nemesis,1999,19991999MM,ActionHorrorSci-Fi,8.6,4.7K,Japan,Capcom Company
Full Throttle,1995,19951995,ActionAdventureCrime,8.6,1.6K,United States,LucasArts Entertainment Company
Dune II: The Building of a Dynasty,1992,19921992,ActionSci-FiWar,8.6,394,United States,Westwood Studios Inc.
Oddworld: Abe's Exoddus,1998,19981998TT,AdventureFantasySci-Fi,8.6,535,United States,GT Interactive Software
Under a Killing Moon,1994,19941994,AdventureComedyCrime,8.6,322,United States,Access Software Inc.
Star Wars: TIE Fighter,1994,19941994,ActionAdventureSci-Fi,8.6,442,United States,LucasArts Entertainment Company
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999,19991999MM,AdventureDramaHorror,8.6,530,United States,
Beat Saber,2018,20182018,Music,8.5,275,Czech Republic,Beat Games
Marvel Powers United VR,2018,20182018TT,Action,8.5,12,United States,Sanzaru Games
King's Bounty: Armored Princess,2009,20092009,ActionAdventureFantasy,8.5,47,Russia,Katauri Interactive
Devil May Cry 5,2019,20192019MM,ActionAdventureFantasy,8.5,2K,Japan,Capcom Company
Assassin's Creed: Odyssey,2018,20182018MM,ActionAdventureFantasy,8.5,6.9K,Canada,Ubisoft Quebec
Attack on Titan 2,2018,20182018MM,ActionAdventureFantasy,8.5,499,Japan,Omega Force
Remothered (Prototype),2012,20122012,,8.5,18,Italy,Darril Arts
Invader Zim: In-Sanitation,2001,20012001,AdventureSci-Fi,8.5,7,United States,Shockwave
Batman: Arkham City Armored Edition,2012,20122012TT,ActionAdventureCrime,8.5,57,,
Shadow of the Colossus,2018,20182018TT,ActionAdventureDrama,8.5,2.3K,Japan,Bluepoint Games
Beyond Skyrim: Bruma,2017,20172017,Fantasy,8.5,33,United States,
The Room Tribute,2010,20102010,AdventureComedy,8.5,23,,Newgrounds
Blackwell Epiphany,2014,20142014,Adventure,8.5,140,United States,Wadjet Eye
Tales of Destiny,2006,20062006,AdventureFamilyFantasy,8.5,6,Japan,Namco
Assassin's Creed: Origins,2017,20172017MM,ActionAdventureFantasy,8.5,7.7K,Canada,Ubisoft Montreal
The Shivah,2006,20062006,,8.5,102,United States,Wadjet Eye
Resonance,2012,20122012,,8.5,88,United States,XII Games
Re: Zero kara hajimeru isekai seikatsu: Death or Kiss,2017,20172017,AdventureComedyFantasy,8.5,65,Japan,
Notes on Blindness,2016,20162016,,8.5,8,United Kingdom,ARTE
Ryuu ga gotoku 6: Inochi no uta,2016,20162016MM,ActionCrimeDrama,8.5,476,Japan,Ryu Ga Gotoku Studio
Uncharted: The Lost Legacy,2017,20172017TT,ActionAdventureMystery,8.5,7K,United States,Naughty Dog
The Last of Us: Part II,2020,20202020MM,ActionAdventureDrama,8.5,30K,United States,Naughty Dog
Crash Bandicoot N. Sane Trilogy,2017,20172017E10+E10+,AnimationActionAdventure,8.5,1.9K,United States,Vicarious Visions
Star Wars Jedi: Fallen Order,2019,20192019TT,ActionAdventureDrama,8.5,11K,United States,Respawn Entertainment
Stardew Valley,2016,20162016TT,AdventureFamilyFantasy,8.5,1.1K,United States,ConcernedApe
Hatsune Miku: Project Diva X,2016,20162016TT,ActionMusic,8.5,83,Japan,Dingo (II)
Call of Cthulhu: Shadow of the Comet,1993,19931993,FantasyHorrorMystery,8.5,104,France,Infogrames
Skyrim: Falskaar,2013,20132013,ActionAdventureFantasy,8.5,24,United States,Yatagan
Command & Conquer: Mental Omega,2016,20162016TT,ActionAdventureSci-Fi,8.5,12,United States,
Flying Tigers: Shadows Over China,2017,20172017MM,ActionAdventureHistory,8.5,20,Sweden,Ace Maddox
Fran Bow,2015,20152015TT,AdventureFantasyHorror,8.5,272,Sweden,Killmonday Games
The Elder Scrolls IV: Shivering Isles,2007,20072007,ActionAdventureFantasy,8.5,377,United States,Bethesda Game Studios
Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,20172017E10+E10+,ActionAdventureFamily,8.5,524,Japan,Disney Interactive Japan
Street Fighter Anniversary Collection,2004,20042004TT,Action,8.5,70,Japan,Capcom Company
Civilization: Call to Power,1999,19991999,Sci-Fi,8.5,10,United States,Activision
Myth II: Soulblighter,1998,19981998,ActionAdventureFantasy,8.5,47,United States,Bungie Software
Katawa Shoujo,2012,20122012MM,DramaRomance,8.5,104,United States,Four Leaf Studios
Stronghold: Crusader,2002,20022002,AdventureHistoryWar,8.5,325,United Kingdom,Firefly Studios
The Talos Principle,2014,20142014,AdventureDramaMystery,8.5,492,,Croteam
Rise of the Tomb Raider,2015,20152015MM,ActionAdventureFantasy,8.5,9.3K,United States,Crystal Dynamics
Primordia,2012,20122012,AdventureSci-Fi,8.5,146,United States,Wormwood Studios
Titanfall 2,2016,20162016,ActionAdventureSci-Fi,8.5,3.7K,United States,Respawn Entertainment
The Mysterious Cities of Gold: Secret Paths,2013,20132013,Adventure,8.5,7,France,Blue Spirit Animation
Infinity Blade III,2013,20132013,Fantasy,8.5,118,United States,Chair Entertainment Group
Ryuu ga gotoku: Ishin!,2014,20142014,ActionDramaHistory,8.5,31,Japan,Ryu Ga Gotoku Studio
Soma,2015,20152015TT,HorrorMysterySci-Fi,8.5,1.8K,Sweden,Frictional Games
Call of Duty: Origins,2013,20132013,ActionHorrorThriller,8.5,468,United States,Treyarch Invention
Dragon Ball Z,1993,19931993,ActionSci-Fi,8.5,105,Japan,Banpresto
Super Mario 3D World,2013,20132013EE,ActionAdventureFamily,8.5,2.3K,Japan,Nintendo
Dairantou sumasshu burazâzu for Wii U,2014,20142014E10+E10+,ActionAdventureFantasy,8.5,1.7K,Japan,Bandai Namco Games
Pajama Sam 2: Thunder and Lightning Aren't So Frightening,1998,19981998,AdventureComedyFamily,8.5,80,United States,Humongous Entertainment
Zombie Panic: Source!,2007,20072007,Horror,8.5,14,Japan,
Fantajî raifu,2012,20122012E10+E10+,Adventure,8.5,29,Japan,Brownie Brown
Clannad,2004,20042004TT,DramaFantasy,8.5,83,Japan,Visual Art's/Key
Rasuto windou: Mayonaka no yakusoku,2010,20102010,CrimeDramaMystery,8.5,28,Japan,Cing
Age of Empires: The Age of Kings,2006,20062006,HistoryWar,8.5,945,Canada,Backbone Entertainment
Vampire Survivors,2021,20212021,ActionAdventureFantasy,8.5,10,United States,poncle
EA Sports Nascar 09,2008,20082008EE,Sport,8.5,51,United States,Electronic Arts (EA)
Minecraft,2009,20092009E10+E10+,ActionAdventureFamily,8.5,11K,Sweden,4J studios
Super Mario Bros. Deluxe,1999,19991999EE,ActionAdventureFamily,8.5,6,Japan,Nintendo Entertainment Planning & Development (EPD)
Civilization V,2010,20102010E10+E10+,History,8.5,1.8K,United States,Firaxis Games Inc.
Moss: Book II,2022,20222022E10+E10+,Adventure,8.5,11,United States,Polyarc
Fobia: St. Dinfna Hotel,2022,20222022,Horror,8.5,10,Brazil,Pulsatrix Studios
Street Fighter: 30th Anniversary Collection,2018,20182018TT,Action,8.5,28,Japan,Digital Eclipse
ESHQ,2018,20182018MM,ActionSci-Fi,8.5,6,Russia,
Sleeping Dogs: Definitive Edition,2014,20142014,ActionCrimeDrama,8.5,12,United States,United Front Games
Doom,2016,20162016MM,ActionHorrorSci-Fi,8.5,5.9K,United States,id Software
God of War: Ghost of Sparta,2010,20102010MM,ActionAdventureFantasy,8.5,2.3K,United States,Ready at Dawn Studios
Super Cars II,1991,19911991,Action,8.5,8,United Kingdom,Magnetic Fields
Nier Replicant,2010,20102010MM,ActionAdventureDrama,8.5,338,Japan,Cavia
S.T.A.L.K.E.R.: Call of Pripyat,2009,20092009,ActionAdventureHorror,8.5,498,Ukraine,GSC Game World
Gears of War 3,2011,20112011MM,ActionSci-FiWar,8.5,4.7K,United States,Epic Games
Mystery Case Files: Dire Grove,2009,20092009,AdventureFantasyMystery,8.5,33,United States,Thinklab
Inscryption,2021,20212021,AdventureHorror,8.5,100,Canada,Daniel Mullins Games
Drakensang - Am Fluss der Zeit,2010,20102010,ActionAdventureFantasy,8.5,110,Germany,Radon Labs
X3: Terran Conflict,2008,20082008,Sci-Fi,8.5,22,Germany,Egosoft
Ultima Underworld: The Stygian Abyss,1992,19921992,ActionAdventureFantasy,8.5,36,United States,Blue Sky Productions
Football Manager 2010,2009,20092009,Sport,8.5,144,United Kingdom,Sports Interactive
Hidden & Dangerous 2,2003,20032003,War,8.5,63,Czech Republic,Illusion Softworks
UnMetal,2021,20212021MM,ActionComedy,8.5,11,Spain,
Detention,2017,20172017MM,DramaHorrorMystery,8.5,30,Taiwan,Red Candle Games
Deadbolt,2016,20162016TT,ActionCrimeHorror,8.5,8,United States,Hopoo Games
Big Chungus,2018,20182018AOAO129h 37m,Action,8.5,13,United Kingdom,
Ratchet & Clank Future: A Crack in Time,2009,20092009E10+E10+,ActionAdventureComedy,8.5,1.1K,United States,Insomniac Games
Mystic Messenger,2016,20162016,,8.5,17,,
The Beatles: Rock Band,2009,20092009TT,BiographyFamilyMusic,8.5,445,United States,Curious Pictures
Pro Evolution Soccer,2001,20012001,Sport,8.5,14,Japan,Konami
Supreme Commander: Forged Alliance,2007,20072007,ActionSci-Fi,8.5,85,United States,Gas Powered Games
There Is No Game: Wrong Dimension,2020,20202020,AdventureComedy,8.5,66,France,
Outlast Trinity,2017,20172017MM,Horror,8.5,56,United States,
Are You Afraid of the Dark?: The Tale of Orpheo's Curse,1994,19941994,AdventureFantasyHorror,8.5,57,Canada,CINAR
428: Fûsa sareta Shibuya de,2008,20082008TT,DramaMysteryThriller,8.5,48,Japan,Chun Soft
Star Wars: The Old Republic,2011,20112011TT,ActionAdventureFantasy,8.5,3K,Canada,Bioware
Killer Bean Unleashed,2012,20122012E10+E10+,ActionAdventureSci-Fi,8.5,24,United States,Killer Bean Studios
The Henry Stickmin Collection,2020,20202020E10+E10+,AnimationActionComedy,8.5,315,United States,Innersloth Productions
Astro's Playroom,2020,20202020EE,AnimationAdventureComedy,8.5,988,United States,SIE Japan Studio
Whacked!,2002,20022002TT,AnimationActionAdventure,8.5,18,United States,Presto Studios
Hitman 3,2021,20212021MM,ActionCrimeMystery,8.5,1.1K,Denmark,IO Interactive
Spider-Man: Miles Morales,2020,20202020TT,ActionAdventureFantasy,8.5,5.5K,United States,Insomniac Games
Grand Theft Auto Trilogy,2005,20052005MM,ActionCrimeDrama,8.5,105,,Rockstar North
Far Cry Compilation,2013,20132013MM,Action,8.5,7,,
Subarashiki kono sekai,2007,20072007TT,ActionAdventureComedy,8.5,282,Japan,Jupiter
SiN: Wages of Sin,1999,19991999,ActionCrimeSci-Fi,8.5,7,United States,2015
Football Manager 2008,2007,20072007,Sport,8.5,170,United States,Sports Interactive
Thirstiest Time of the Year,2018,20182018,ComedyHorror,8.5,12,United States,
Suzumiya Haruhi no yakusoku,2007,20072007,,8.5,21,Japan,
Gurôransâ V: Generations,2006,20062006TT,ActionAdventureDrama,8.5,31,Japan,Career Soft
Just Shapes and Beats,2018,20182018E10+E10+,ActionAdventureComedy,8.5,38,Canada,Berzerk Studio
Shall We Date?: Obey Me!,2019,20192019,Romance,8.5,44,Japan,
Mafia II,2010,20102010MM,ActionCrimeDrama,8.5,10K,Czech Republic,D3t
Andâ naito inbâsu: Ekusereito Kure,2020,20202020,ActionFantasy,8.5,8,Japan,Ecole Software
Zombie Society - Dead Detective vs Nine Deaths Cat,2017,20172017,Mystery,8.5,6,Italy,Armor Games
Zombie Society - Dead Detective,2017,20172017,Mystery,8.5,6,Italy,Armor Games
Zombie Society Dead Detective - Walls Can Bleed,2017,20172017,Mystery,8.5,6,Italy,Armor Games
Zombie Society: Dead Detective - Brain Drain,2017,20172017,Mystery,8.5,6,Italy,Armor Games
Zombie Society Dead Detective - Roving Eyes,2018,20182018,Mystery,8.5,6,Italy,Armor Games
Wiedzmin,2007,20072007MM,ActionAdventureDrama,8.5,4.1K,Poland,CD Projekt RED
Knights of Honor,2004,20042004,,8.5,35,Bulgaria,Black Sea Films
Shin megami tensei III: Nocturne,2003,20032003MM,ActionAdventureFantasy,8.5,175,Japan,Atlus
Final fantasy tactics: Fainaru fantaji takuteikkusu - Shishi sensô,2007,20072007TT,Sci-Fi,8.5,188,Japan,Square Enix Company
Slaves to Armok: God of Blood Chapter II: Dwarf Fortress,2006,20062006,Fantasy,8.5,15,United States,Bay 12 Games
Laura's Happy Adventures,1998,19981998EE,AdventureFantasyRomance,8.5,14,Canada,Playmobil Interactive
Grand Poo World 2,2019,20192019,Adventure,8.5,8,United States,
The King's Gold,2019,20192019,Adventure,8.5,8,United Kingdom,Armor Games
Jumurdzsák gyürüje,2006,20062006,ActionAdventure,8.5,23,Hungary,
The Lord of the Rings: The Battle for Middle-earth II - The Rise of the Witch-king,2006,20062006,ActionAdventureFantasy,8.5,1.5K,United States,Electronic Arts (EA)
The Godfather: Blackhand Edition,2007,20072007MM,ActionAdventureCrime,8.5,176,United States,Electronic Arts (EA)
Connections,1996,19961996,AdventureHistoryMystery,8.5,12,United States,SOM Interactive
Etherlords II,2003,20032003,Action,8.5,66,,
Uncharted: Drake's Fortune,2007,20072007TT,ActionAdventureFantasy,8.5,20K,United States,Naughty Dog
LMA Manager 2007,2006,20062006,Sport,8.5,36,United Kingdom,Codemasters Software Company
Metroid Prime 3: Corruption,2007,20072007TT,ActionAdventureMystery,8.5,996,Japan,Nintendo Software Planning and Development (SPD)
World of Warcraft: The Burning Crusade,2007,20072007TT,ActionAdventureFantasy,8.5,2.2K,United States,Blizzard Entertainment
Ebaa Sebuntiin: The Out of Infinity,2002,20022002TT,AdventureComedyDrama,8.5,49,Japan,Kindle Imagine Develop (KID)
"Warhammer 40,000: Dawn of War - Dark Crusade",2006,20062006MM,ActionFantasySci-Fi,8.5,431,United States,Relic Entertainment
Company of Heroes,2006,20062006MM,ActionWar,8.5,813,Canada,Relic Entertainment
Silent Hunter III,2005,20052005TT,Action,8.5,60,Romania,Ubisoft Romania
Lost Odyssey,2007,20072007TT,ActionAdventureDrama,8.5,459,Japan,Mistwalker
Strategic Conquest,1990,19901990,ActionAdventure,8.5,28,United States,Delta
Mail Order Monster,1985,19851985,Adventure,8.5,18,United States,Electronic Arts (EA)
RollerCoaster Tycoon 2,2002,20022002EE,Adventure,8.5,399,United Kingdom,
World Games,1986,19861986,Sport,8.5,54,United States,Epyx Inc.
Krakout,1987,19871987,ActionFamily,8.5,38,United Kingdom,Gremlin Interactive
The Bizarre Adventures of Woodruff and the Schnibble,1994,19941994,,8.5,35,France,Coktel Vision
Gears of War,2006,20062006MM,ActionSci-FiWar,8.5,8.7K,United States,Epic Games
Hearts of Iron II,2005,20052005,HistoryWar,8.5,90,United States,Paradox Interactive
Close Combat: A Bridge Too Far,1997,19971997K-AK-A,ActionAdventure,8.5,32,United States,Atomic Games
Championship Manager 2000/01,2000,20002000,Sport,8.5,109,United Kingdom,Sports Interactive
Tiny Toon Adventures: Buster's Hidden Treasure,1993,19931993,Adventure,8.5,82,Japan,Konami
NCAA Football 06,2005,20052005EE,Sport,8.5,63,United States,
Prince of Persia: The Two Thrones,2005,20052005MM,ActionAdventureFantasy,8.5,3.4K,Canada,Ubisoft Montreal
Kuraishisu koa: Fainaru fantajî VII,2007,20072007TT,ActionAdventureFantasy,8.5,1.3K,Japan,Square Enix Company
Supremacy,1991,19911991,ActionAdventureHistory,8.5,32,United States,
Little Big Adventure,1994,19941994,Adventure,8.5,144,France,Adeline Software
Call of Duty 2,2005,20052005TT,ActionWar,8.5,6.7K,United States,Infinity Ward
