Name,year,esrp,genre,rate,vote,country,company
Dark Souls: Artorias of the Abyss,2012,20122012,ActionAdventureFantasy,9.1,347,Japan,From Software
Bioshock: The Collection,2016,20162016MM,ActionAdventureHorror,9.1,408,United States,
Metal Gear Solid: HD Collection,2011,20112011,ActionWar,9.1,65,United States,Bluepoint Games
Assassin's Creed II,2009,20092009MM,ActionAdventureHistory,9.1,23K,Canada,Ubisoft Montreal
God of War III,2010,20102010MM,ActionAdventureFantasy,9.1,10K,United States,SCEA Santa Monica Studios
Portal,2007,20072007TT,AdventureComedySci-Fi,9.1,13K,United States,Valve
Disco Elysium,2019,20192019MM,ComedyCrimeDrama,9.1,728,Estonia,Za/Um
The Walking Dead: The Telltale Definitive Series,2019,20192019,DramaHorrorThriller,9.1,471,United States,Skybound Entertainment
BioShock,2007,20072007MM,ActionAdventureHorror,9.1,20K,United States,2K Games
Fallout 3,2008,20082008MM,ActionAdventureSci-Fi,9.1,19K,United States,Bethesda Game Studios
Lego Star Wars: The Skywalker Saga,2022,20222022E10+E10+,ActionAdventureComedy,9.1,1.5K,United Kingdom,The LEGO Group
Gothic II,2002,20022002MM,ActionAdventureFantasy,9.1,763,Germany,Piranha Bytes
Half-Life 2: Episode Two,2007,20072007MM,ActionAdventureSci-Fi,9.1,6.2K,United States,Valve
Vampire: The Masquerade - Bloodlines,2004,20042004MM,ActionDramaFantasy,9.1,1.8K,United States,Troika Games
God of War,2005,20052005MM,ActionAdventureFantasy,9.1,10K,United States,SCEA Santa Monica Studios
Max Payne 2: The Fall of Max Payne,2003,20032003MM,ActionCrimeDrama,9.1,11K,Finland,Remedy Entertainment
Metal Gear: Ghost Babel,2000,20002000EE,ActionAdventureSci-Fi,9.1,1.2K,Japan,Konami Computer Entertainment
Biohazard,2002,20022002MM,ActionHorrorMystery,9.1,4.1K,Japan,Capcom Company
UFO - Enemy Unknown,1994,19941994,ActionSci-FiThriller,9.1,383,United Kingdom,MicroProse Software Inc.
Master of Orion II: Battle at Antares,1996,19961996,Sci-Fi,9.1,142,United States,MicroProse Software Inc.
Fainaru fantajî X,2001,20012001TT,AdventureFantasyRomance,9.1,7.6K,Japan,Square Company
Shenmue,1999,19991999TT,ActionAdventureCrime,9.1,1.2K,Japan,SEGA/AM2 Company
Super Metroid,1994,19941994EE,ActionAdventureMystery,9.1,2.1K,Japan,Nintendo
GoldenEye 007,1997,19971997TT,ActionAdventureThriller,9.1,5.6K,United Kingdom,Rare
Super Mario 64,1996,19961996K-AK-A,ActionAdventureComedy,9.1,6.1K,Japan,Nintendo
Biohazard 2,1998,19981998MM10m,ActionHorrorSci-Fi,9.1,5.9K,Japan,Capcom Company
The Curse of Monkey Island,1997,19971997K-AK-A,AdventureComedyFantasy,9.1,2.7K,United States,LucasArts Entertainment Company
Gabriel Knight: Sins of the Fathers,1993,19931993TT,AdventureDramaHorror,9.1,678,United States,Sierra Entertainment
Chaos;Child,2014,20142014,MysterySci-Fi,9.0,16,Japan,
Ori and the Will of the Wisps,2020,20202020EE,AdventureFantasy,9.0,1.1K,Austria,Moon Studios
Uma Musume: Pretty Derby,2021,20212021,ActionSport,9.0,5,Japan,Cygames
Ace Academy,2016,2016201610h,Comedy,9.0,5,Canada,PixelFade
Cyber Danganronpa VR: The Class Trial,2016,20162016TT,,9.0,7,Japan,NIS America
Assassin's Creed: The Ezio Collection,2016,20162016MM,ActionAdventureFantasy,9.0,710,United States,
Fairy Fencer F: Advent Dark Force,2016,20162016TT,ActionAdventureFantasy,9.0,100,Japan,Compile Heart
Kingdom Hearts HD 1.5 Remix,2013,20132013E10+E10+,ActionAdventureFamily,9.0,818,Japan,Disney Interactive Japan
Horizon Zero Dawn,2017,20172017TT,ActionAdventureMystery,9.0,14K,Netherlands,Guerrilla Games
Fairy Fencer F,2013,20132013TT,Fantasy,9.0,99,Japan,Compile Heart
Batman: Arkham Knight,2015,20152015MM,ActionAdventureCrime,9.0,19K,United Kingdom,DC Entertainment
Zeruda no densetsu: Kaze no takuto HD,2013,20132013E10+E10+,ActionAdventureFantasy,9.0,1.4K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
AI: The Somnium Files - nirvanA Initiative,2022,20222022MM,AdventureCrimeMystery,9.0,27,Japan,
Terminator: Resistance Annihilation Line,2021,20212021,Action,9.0,5,United Kingdom,Reef Entertainment
Uncharted 3: Drake's Deception,2011,20112011TT,ActionAdventureFantasy,9.0,22K,United States,Naughty Dog
Zenobureido,2010,20102010TT,ActionAdventureFantasy,9.0,632,Japan,Monolith Soft
Doki Doki Literature Club Plus!,2021,20212021MM,DramaHorrorRomance,9.0,71,United States,Serenity Forge
Halo 2: Anniversary,2014,20142014MM,ActionAdventureSci-Fi,9.0,343,United States,343 Industries
Postal: Brain Damaged,2022,20222022MM,ActionAdventureComedy,9.0,6,United States,CreativeForge Games
Granny Smith,2012,20122012EE,ActionAdventureComedy,9.0,7,United States,Mediocre AB
Kimi to Kanojo to Kanojo no Koi,2013,20132013,AdventureHorrorRomance,9.0,10,Japan,
Final Fantasy Chronicles,2001,20012001TT,ActionAdventureComedy,9.0,6,Japan,Toei Animation
Imscared - A Pixelated Nightmare,2016,20162016,AdventureHorrorThriller,9.0,13,United States,Ivan Zanotti's MyMadnessWorks
The Great Ace Attorney Chronicles,2021,20212021TT,AdventureComedyDrama,9.0,73,Japan,Capcom Company
Gothic II: Die Nacht des Raben,2003,20032003,ActionAdventureFantasy,9.0,387,Germany,Piranha Bytes
Wallace & Gromit: The Big Fix Up,2020,20202020,AdventureComedyMystery,9.0,13,United Kingdom,Aardman Animations
Hoshi no kâbî: Urutora sûpâ derakkusu,2008,20082008EE,Action,9.0,427,Japan,HAL Laboratory
Ratchet & Clank: Rift Apart,2021,20212021E10+E10+,ActionAdventureComedy,9.0,1.2K,United States,Insomniac Games
Persona 3 FES,2007,20072007MM,ActionAdventureFantasy,9.0,688,Japan,Atlus
Call of Duty 4: Modern Warfare,2007,20072007MM,ActionThriller,9.0,22K,United States,Infinity Ward
Final Fantasy XIV: Shadowbringers,2019,20192019TT,ActionAdventureFantasy,9.0,161,Japan,Square Enix Company
Super Mario Galaxy,2007,20072007EE,ActionAdventureFamily,9.0,5.3K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Championship Manager 2001/02,2001,20012001,Sport,9.0,192,United Kingdom,Eidos Interactive
Mother 3,2006,20062006TT,AdventureComedyDrama,9.0,457,Japan,Brownie Brown
Little Big Adventure 2,1997,19971997,Adventure,9.0,214,France,Adeline Software
The Elder Scrolls IV: Oblivion,2006,20062006TT,ActionAdventureFantasy,9.0,12K,United States,Bethesda Game Studios
Zeruda no densetsu Towairaito purinsesu,2006,20062006TT,ActionAdventureFantasy,9.0,5K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Paper Mario RPG,2004,20042004EE,AdventureFantasy,9.0,1.1K,Japan,Intelligent Systems
Heroes of Might and Magic III: The Restoration of Erathia,1999,19991999,ActionAdventureFantasy,9.0,1.2K,United States,New World Computing
Metal Gear Solid 2: Substance,2002,20022002MM,ActionAdventureDrama,9.0,2.1K,Japan,Konami Computer Entertainment
Zeruda no densetsu: Kaze no takuto,2002,20022002EE,ActionAdventureFantasy,9.0,3.3K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Gensô suikoden II,1998,19981998TT,ActionAdventureDrama,9.0,424,Japan,Konami Computer Entertainment
StarCraft: Brood War,1998,19981998TT,ActionAdventureSci-Fi,9.0,2.3K,United States,Blizzard Entertainment
Dai-Rantô Smash Brothers Deluxe,2001,20012001TT,ActionFantasySci-Fi,9.0,3.2K,Japan,GameCube
Diablo II: Lord of Destruction,2001,20012001MM,ActionAdventureFantasy,9.0,2.6K,United States,Blizzard Entertainment
Shenmue II,2001,20012001TT,ActionAdventureCrime,9.0,853,Japan,SEGA/AM2 Company
Baldur's Gate II: Throne of Bhaal,2001,20012001,ActionAdventureFantasy,9.0,1.2K,Canada,Bioware
Zeruda no densetsu: Mujura no kamen,2000,20002000EE,ActionAdventureFamily,9.0,3.6K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Diablo II,2000,20002000MM,ActionAdventureFantasy,9.0,4K,United States,Blizzard Entertainment
Metal Gear Solid 2: Sons of Liberty,2001,20012001MM,ActionAdventureDrama,9.0,8.5K,Japan,Konami Computer Entertainment
Indiana Jones and the Fate of Atlantis,1992,19921992,ActionAdventureFantasy,9.0,1.6K,United States,LucasArts Entertainment Company
Jagged Alliance 2,1999,19991999,Action,9.0,302,Canada,Sir-Tech
Sûpâ Mario korekushon,1993,19931993,ActionAdventureFamily,9.0,1.1K,Japan,Nintendo
The Longest Journey,1999,19991999MM,AdventureDramaFantasy,9.0,1.1K,Norway,Funcom
The Neverhood,1996,19961996TT,AdventureComedyMystery,9.0,573,United States,DreamWorks Interactive
Final Fantasy VI,1994,19941994TT,ActionAdventureFantasy,9.0,2.9K,Japan,Square Company
Day of the Tentacle,1993,19931993,AdventureComedySci-Fi,9.0,1.9K,United States,LucasArts Entertainment Company
Silent Hill,1999,19991999MM,DramaHorrorMystery,9.0,5.6K,Japan,Konami Computer Entertainment
The Beast Within: A Gabriel Knight Mystery,1995,19951995MM,AdventureDramaHorror,9.0,776,Canada,Sierra Entertainment
Hades,2018,20182018TT,ActionAdventureFantasy,8.9,1.5K,United States,Supergiant Games
Faiâ emuburemu: Fuuka setsugetsu,2019,20192019TT,AdventureDramaFantasy,8.9,694,Japan,Intelligent Systems
The Legend of Zelda: Majora's Mask 3D,2015,20152015E10+E10+,ActionAdventureFantasy,8.9,726,Japan,Grezzo
Kurobara no warukyûre,2016,20162016TT,Action,8.9,19,Japan,Compile Heart
Der Eisendrache,2016,20162016,ActionDramaHorror,8.9,235,United States,Treyarch Invention
Deep Sleep,2012,20122012,AdventureHorrorMystery,8.9,14,Poland,
Super Smash Bros. Ultimate,2018,20182018E10+E10+,ActionAdventureFantasy,8.9,3.3K,Japan,Bandai Namco Entertainment
Life Is Strange,2015,20152015MM,DramaMysterySci-Fi,8.9,12K,France,Dontnod Entertainment
Halo: The Master Chief Collection,2014,20142014MM,ActionAdventureSci-Fi,8.9,2.1K,United States,343 Industries
Ryû ga gotoku Zero: Chikai no basho,2015,20152015MM,ActionCrimeDrama,8.9,1.5K,Japan,Ryu Ga Gotoku Studio
Tales from the Borderlands: A Telltale Games Series,2014,20142014MM,AdventureComedySci-Fi,8.9,3.9K,United States,Gearbox Software
The Last of Us: Left Behind,2014,20142014MM,ActionAdventureDrama,8.9,9.7K,United States,Naughty Dog
The Wolf Among Us,2013,20132013MM,ActionCrimeDrama,8.9,7.1K,United States,DC Entertainment
Black Sails: Das Geisterschiff,2010,20102010,Adventure,8.9,79,Germany,Deck 13 Interactive
Parodius: Tako wa Chikyû o Sukuu,1988,19881988,ActionComedyFamily,8.9,55,Japan,Konami Industries
Growlanser: Wayfarer of Time,2003,20032003TT,ActionAdventureDrama,8.9,23,Japan,Career Soft
Far Cry 3,2012,20122012MM,ActionAdventure,8.9,19K,Canada,Ubisoft Massive Studio
South Park: The Stick of Truth,2014,20142014MM,ActionAdventureComedy,8.9,4.8K,United States,345 Games
Destiny 2: The Witch Queen,2022,20222022TT,Action,8.9,102,United States,Bungie Studios
Achtung Banditen?!,2022,20222022,History,8.9,31,Italy,RedMagicBlue
Fallout: New Vegas,2010,20102010MM,ActionAdventureSci-Fi,8.9,12K,United States,Obsidian Entertainment
Super Mario Galaxy 2,2010,20102010EE,ActionAdventureFamily,8.9,2.5K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Rogue Legacy 2,2022,20222022E10+E10+,ActionAdventure,8.9,7,Canada,Cellar Door Games
Death Stranding Director's Cut,2021,20212021MM,ActionAdventureDrama,8.9,270,Japan,Kojima Productions
Mass Effect 2: Lair of the Shadow Broker,2010,20102010MM,ActionAdventureSci-Fi,8.9,68,Canada,Bioware
Cuphead: The Delicious Last Course,2022,20222022E10+E10+,AnimationActionAdventure,8.9,110,Canada,Studio MDHR
Age of Empires II: Definitive Edition,2019,20192019,Adventure,8.9,110,United States,Forgotten Empires
Dark Souls III: The Ringed City,2017,20172017,ActionAdventureFantasy,8.9,287,Japan,From Software
Cookie Run: Ovenbreak,2016,20162016EE,AnimationActionAdventure,8.9,9,South Korea,Devsisters
Blaseball,2020,20202020,HorrorSport,8.9,9,United States,The Game Band
Metal Gear Solid: The Legacy Collection,2013,20132013,,8.9,34,Japan,
Metroid Prime: Trilogy,2009,20092009TT,ActionAdventureMystery,8.9,35,Japan,
Dark Souls Trilogy,2018,20182018MM,ActionAdventureFantasy,8.9,95,Japan,
Forza Horizon 4: Best of Bond,2018,20182018,AnimationActionAdventure,8.9,16,United Kingdom,Microsoft Studios
Boneworks,2019,20192019MM,ActionAdventureSci-Fi,8.9,79,United States,Stress Level Zero
ZS Dead Detective - Pumpkin Dead,2019,20192019,Mystery,8.9,7,Italy,Armor Games
Sherlock: The Network,2014,20142014,Crime,8.9,101,United Kingdom,The Project Factory
