Name,year,Esrp,Genre,rate,vote,country,company,Global_Sales
Full Throttle,1995,Not Rated,Crime,8.6,1000,United States,LucasArts Entertainment Company,2.37
Dune II: The Building of a Dynasty,1992,Not Rated,War,8.6,394,United States,Westwood Studios Inc.,2.37
Oddworld: Abe's Exoddus,1998,Teen,Sci-Fi,8.6,535,United States,GT Interactive Software,2.37
Under a Killing Moon,1994,Not Rated,Crime,8.6,322,United States,Access Software Inc.,2.37
Star Wars: TIE Fighter,1994,Not Rated,Sci-Fi,8.6,442,United States,LucasArts Entertainment Company,2.37
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",1999,Mature,Horror,8.6,530,United States,Unknown,2.37
Beat Saber,2018,Not Rated,Music,8.5,275,Czech Republic,Beat Games,2.36
Marvel Powers United VR,2018,Teen,Action,8.5,12,United States,Sanzaru Games,2.36
King's Bounty: Armored Princess,2009,Not Rated,Fantasy,8.5,47,Russia,Katauri Interactive,2.35
Devil May Cry 5,2019,Mature,Fantasy,8.5,2000,Japan,Capcom Company,2.35
Assassin's Creed: Odyssey,2018,Mature,Fantasy,8.5,6000,Canada,Ubisoft Quebec,2.35
Attack on Titan 2,2018,Mature,Fantasy,8.5,499,Japan,Omega Force,2.34
Remothered (Prototype),2012,Not Rated,Unknown,8.5,18,Italy,Darril Arts,2.34
Invader Zim: In-Sanitation,2001,Not Rated,Sci-Fi,8.5,7,United States,Shockwave,2.34
Batman: Arkham City Armored Edition,2012,Teen,Crime,8.5,57,Unknown,Unknown,2.34
Shadow of the Colossus,2018,Teen,Drama,8.5,2000,Japan,Bluepoint Games,2.34
Beyond Skyrim: Bruma,2017,Not Rated,Fantasy,8.5,33,United States,Unknown,2.33
The Room Tribute,2010,Not Rated,Comedy,8.5,23,Unknown,Newgrounds,2.33
Blackwell Epiphany,2014,Not Rated,Adventure,8.5,140,United States,Wadjet Eye,2.32
Tales of Destiny,2006,Not Rated,Fantasy,8.5,6,Japan,Namco,2.32
Assassin's Creed: Origins,2017,Mature,Fantasy,8.5,7000,Canada,Ubisoft Montreal,2.32
The Shivah,2006,Not Rated,Unknown,8.5,102,United States,Wadjet Eye,2.31
Resonance,2012,Not Rated,Unknown,8.5,88,United States,XII Games,2.31
Re: Zero kara hajimeru isekai seikatsu: Death or Kiss,2017,Not Rated,Fantasy,8.5,65,Japan,Unknown,2.31
Notes on Blindness,2016,Not Rated,Unknown,8.5,8,United Kingdom,ARTE,2.31
Ryuu ga gotoku 6: Inochi no uta,2016,Mature,Drama,8.5,476,Japan,Ryu Ga Gotoku Studio,2.3
Uncharted: The Lost Legacy,2017,Teen,Mystery,8.5,7000,United States,Naughty Dog,2.3
The Last of Us: Part II,2020,Mature,Drama,8.5,30000,United States,Naughty Dog,2.3
Crash Bandicoot N. Sane Trilogy,2017,Everyone10+,Adventure,8.5,1000,United States,Vicarious Visions,2.29
Star Wars Jedi: Fallen Order,2019,Teen,Drama,8.5,11000,United States,Respawn Entertainment,2.29
Stardew Valley,2016,Teen,Fantasy,8.5,1000,United States,ConcernedApe,2.29
Hatsune Miku: Project Diva X,2016,Teen,Musical,8.5,83,Japan,Dingo (II),2.28
Call of Cthulhu: Shadow of the Comet,1993,Not Rated,Mystery,8.5,104,France,Infogrames,2.28
Skyrim: Falskaar,2013,Not Rated,Fantasy,8.5,24,United States,Yatagan,2.28
Command & Conquer: Mental Omega,2016,Teen,Sci-Fi,8.5,12,United States,Unknown,2.28
Flying Tigers: Shadows Over China,2017,Mature,History,8.5,20,Sweden,Ace Maddox,2.28
Fran Bow,2015,Teen,Horror,8.5,272,Sweden,Killmonday Games,2.28
The Elder Scrolls IV: Shivering Isles,2007,Not Rated,Fantasy,8.5,377,United States,Bethesda Game Studios,2.28
Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Everyone10+,Family,8.5,524,Japan,Disney Interactive Japan,2.28
Street Fighter Anniversary Collection,2004,Teen,Action,8.5,70,Japan,Capcom Company,2.28
Civilization: Call to Power,1999,Not Rated,Sci-Fi,8.5,10,United States,Activision,2.27
Myth II: Soulblighter,1998,Not Rated,Fantasy,8.5,47,United States,Bungie Software,2.27
Katawa Shoujo,2012,Mature,Romance,8.5,104,United States,Four Leaf Studios,2.27
Stronghold: Crusader,2002,Not Rated,War,8.5,325,United Kingdom,Firefly Studios,2.26
The Talos Principle,2014,Not Rated,Mystery,8.5,492,Unknown,Croteam,2.26
Rise of the Tomb Raider,2015,Mature,Fantasy,8.5,9000,United States,Crystal Dynamics,2.26
Primordia,2012,Not Rated,Sci-Fi,8.5,146,United States,Wormwood Studios,2.26
Titanfall 2,2016,Not Rated,Sci-Fi,8.5,3000,United States,Respawn Entertainment,2.25
The Mysterious Cities of Gold: Secret Paths,2013,Not Rated,Adventure,8.5,7,France,Blue Spirit Animation,2.25
Infinity Blade III,2013,Not Rated,Fantasy,8.5,118,United States,Chair Entertainment Group,2.25
Ryuu ga gotoku: Ishin!,2014,Not Rated,History,8.5,31,Japan,Ryu Ga Gotoku Studio,2.25
Soma,2015,Teen,Sci-Fi,8.5,1000,Sweden,Frictional Games,2.25
Call of Duty: Origins,2013,Not Rated,Thriller,8.5,468,United States,Treyarch Invention,2.25
Dragon Ball Z,1993,Not Rated,Sci-Fi,8.5,105,Japan,Banpresto,2.25
Super Mario 3D World,2013,Everyone,Family,8.5,2000,Japan,Nintendo,2.24
Dairantou sumasshu burazâzu for Wii U,2014,Everyone10+,Fantasy,8.5,1000,Japan,Bandai Namco Games,2.24
Pajama Sam 2: Thunder and Lightning Aren't So Frightening,1998,Not Rated,Family,8.5,80,United States,Humongous Entertainment,2.24
Zombie Panic: Source!,2007,Not Rated,Horror,8.5,14,Japan,Unknown,2.24
Fantajî raifu,2012,Everyone10+,Adventure,8.5,29,Japan,Brownie Brown,2.24
Clannad,2004,Teen,Fantasy,8.5,83,Japan,Visual Art's/Key,2.24
Rasuto windou: Mayonaka no yakusoku,2010,Not Rated,Mystery,8.5,28,Japan,Cing,2.24
Age of Empires: The Age of Kings,2006,Not Rated,War,8.5,945,Canada,Backbone Entertainment,2.23
Vampire Survivors,2021,Not Rated,Fantasy,8.5,10,United States,poncle,2.23
EA Sports Nascar 09,2008,Everyone,Sport,8.5,51,United States,Electronic Arts (EA),2.23
Minecraft,2009,Everyone10+,Family,8.5,11000,Sweden,4J studios,2.23
Super Mario Bros. Deluxe,1999,Everyone,Family,8.5,6,Japan,Nintendo Entertainment Planning & Development (EPD),2.23
Civilization V,2010,Everyone10+,History,8.5,1000,United States,Firaxis Games Inc.,2.22
Moss: Book II,2022,Everyone10+,Adventure,8.5,11,United States,Polyarc,2.22
Fobia: St. Dinfna Hotel,2022,Not Rated,Horror,8.5,10,Brazil,Pulsatrix Studios,2.22
Street Fighter: 30th Anniversary Collection,2018,Teen,Action,8.5,28,Japan,Digital Eclipse,2.22
ESHQ,2018,Mature,Sci-Fi,8.5,6,Russia,Unknown,2.21
Sleeping Dogs: Definitive Edition,2014,Not Rated,Drama,8.5,12,United States,United Front Games,2.21
Doom,2016,Mature,Sci-Fi,8.5,5000,United States,id Software,2.2
God of War: Ghost of Sparta,2010,Mature,Fantasy,8.5,2000,United States,Ready at Dawn Studios,2.2
Super Cars II,1991,Not Rated,Action,8.5,8,United Kingdom,Magnetic Fields,2.2
Nier Replicant,2010,Mature,Drama,8.5,338,Japan,Cavia,2.2
